Category,State/UT/City,National Highways_Cases,National Highways_Injured,National Highways_Died,State Highways_Cases,State Highways_Injured,State Highways_Died,Expressways_Cases,Expressways_Injured,Expressways_Died,Other Roads_Cases,Other Roads_Injured,Other Roads_Died,Total_Cases,Total_Injured,Total_Died
State,ANDHRA PRADESH,6988,8239,2997,4838,5262,2080,0,0,0,8851,11118,2907,20677,24619,7984
State,ARUNACHAL PRADESH,79,107,37,74,97,38,0,0,0,47,71,34,200,275,109
State,ASSAM,3364,3184,1479,2024,1818,717,0,0,0,2667,2079,1049,8055,7081,3245
State,BIHAR,4493,3038,3403,2560,2061,1854,0,0,0,2954,2107,1948,10007,7206,7205
State,CHHATTISGARH,3806,3542,1455,2988,2888,1146,0,0,0,7105,6659,2402,13899,13089,5003
State,GOA,1255,445,121,299,177,29,0,0,0,1886,838,149,3440,1460,299
State,GUJARAT,3328,3153,1942,4268,4293,2164,75,121,42,8832,8409,3280,16503,15976,7428
State,HARYANA,3182,2633,1829,2542,2103,1274,173,128,104,5040,4383,2062,10937,9247,5269
State,HIMACHAL PRADESH,1289,2149,451,514,962,211,0,0,0,1093,1629,462,2896,4740,1124
State,JAMMU & KASHMIR,2140,2582,364,760,943,118,0,0,0,2895,3992,527,5795,7517,1009
State,JHARKHAND,1858,1392,1511,1441,1083,987,101,56,66,1817,1287,1237,5217,3818,3801
State,KARNATAKA,13343,16835,3826,10444,14079,3179,0,0,0,16857,19528,3946,40644,50442,10951
State,KERALA,9431,10984,1290,9118,9897,1040,0,0,0,21395,23586,2040,39944,44467,4370
State,MADHYA PRADESH,10406,10647,3165,14001,14447,3299,0,0,0,27234,28671,5392,51641,53765,11856
State,MAHARASHTRA,7594,7179,5083,6535,5594,3813,666,687,167,12491,9829,5545,27286,23289,14608
State,MANIPUR,395,602,111,203,327,35,0,0,0,74,126,10,672,1055,156
State,MEGHALAYA,138,192,104,35,18,24,0,0,0,63,77,48,236,287,176
State,MIZORAM,24,8,25,26,17,29,0,0,0,7,0,9,57,25,63
State,NAGALAND,15,10,11,5,26,3,0,0,0,6,23,8,26,59,22
State,ODISHA,3963,4454,2107,3103,3295,1483,96,111,64,3902,3317,1679,11064,11177,5333
State,PUNJAB,2124,1162,1670,1576,1079,1146,17,28,15,2599,1457,1782,6316,3726,4613
State,RAJASTHAN,6809,6885,3891,3650,3683,2004,213,212,91,12806,12199,4577,23478,22979,10563
State,SIKKIM,56,85,27,62,131,25,0,0,0,54,113,32,172,329,84
State,TAMIL NADU,17633,21727,3921,19279,22412,3423,0,0,0,20316,22998,3181,57228,67137,10525
State,TELANGANA,7349,7590,2384,2501,2614,958,3,1,0,11717,11794,3622,21570,21999,6964
State,TRIPURA,250,326,105,211,260,70,0,0,0,194,230,64,655,816,239
State,UTTAR PRADESH,11677,6770,7187,10432,6087,6385,881,540,761,14547,8854,8952,37537,22251,23285
State,UTTARAKHAND,687,704,339,261,399,234,0,0,0,404,354,294,1352,1457,867
State,WEST BENGAL,3465,3439,1967,2682,2666,1617,178,113,79,5908,5526,2061,12233,11744,5724
State,TOTAL (STATES),127141,130063,52802,106432,108718,39385,2403,1997,1389,193761,191254,59299,429737,432032,152875
UT,A & NISLANDS,71,74,7,68,56,5,0,0,0,91,77,8,230,207,20
UT,CHANDIGARH,36,27,13,0,0,0,0,0,0,268,248,91,304,275,104
UT,D & N HAVELI,0,0,0,35,33,28,0,0,0,33,72,21,68,105,49
UT,DAMAN & DIU,0,0,0,0,0,0,0,0,0,63,74,29,63,74,29
UT,DELHI (UT),701,618,271,590,500,187,0,0,0,4310,3831,1050,5601,4949,1508
UT,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
UT,PUDUCHERRY,653,763,120,202,253,19,0,0,0,537,603,8,1392,1619,147
UT,TOTAL (UTs),1461,1482,411,895,842,239,0,0,0,5303,4906,1207,7659,7230,1857
TOTAL (ALL INDIA),TOTAL (ALL INDIA),128602,131545,53213,107327,109560,39624,2403,1997,1389,199064,196160,60506,437396,439262,154732
City,AGRA,36,10,44,85,15,97,23,6,24,148,75,151,292,106,316
City,AHMEDABAD,136,71,69,76,49,26,6,3,3,1162,1025,341,1380,1148,439
City,ALLAHABAD,197,146,82,166,130,77,0,0,0,413,247,124,776,523,283
City,AMRITSAR,30,19,21,48,28,31,0,0,0,55,29,43,133,76,95
City,ASANSOL,205,164,146,34,26,24,0,0,0,203,164,144,442,354,314
City,AURANGABAD,30,26,17,116,67,68,0,0,0,370,279,141,516,372,226
City,BENGALURU,761,770,167,211,188,40,0,0,0,3712,3292,561,4684,4250,768
City,BHOPAL,206,152,18,985,657,61,0,0,0,1325,1100,44,2516,1909,123
City,CHANDIGARH (CITY),36,27,13,0,0,0,0,0,0,268,248,91,304,275,104
City,CHENNAI,1349,1502,283,1234,1641,253,0,0,0,4288,3559,716,6871,6702,1252
City,COIMBATORE,328,345,47,352,352,40,0,0,0,382,376,45,1062,1073,132
City,DELHI (CITY),701,618,271,590,500,187,0,0,0,4058,3621,942,5349,4739,1400
City,DHANBAD,97,37,82,61,35,35,0,0,0,13,3,10,171,75,127
City,DURG BHILAINAGAR,128,145,37,73,85,21,0,0,0,332,424,35,533,654,93
City,FARIDABAD,205,143,102,0,0,0,14,6,15,517,486,194,736,635,311
City,GHAZIABAD,66,4,67,21,3,22,14,2,14,96,19,98,197,28,201
City,GWALIOR,217,214,48,0,0,0,0,0,0,1001,945,80,1218,1159,128
City,HYDERABAD,730,668,73,190,159,23,0,0,0,1980,1822,175,2900,2649,271
City,INDORE,479,339,75,530,359,58,0,0,0,2327,1908,164,3336,2606,297
City,JABALPUR,271,270,80,181,606,44,0,0,0,1715,1346,85,2167,2222,209
City,JAIPUR,692,506,241,119,144,43,109,54,16,2125,1747,421,3045,2451,721
City,JAMSHEDPUR,0,0,0,94,51,30,0,0,0,97,78,62,191,129,92
City,JODHPUR,200,143,116,62,51,25,0,0,0,424,333,119,686,527,260
City,KANNUR,214,286,29,53,74,3,0,0,0,390,451,50,657,811,82
City,KANPUR,495,161,334,325,194,131,78,41,37,155,89,66,1053,485,568
City,KOCHI,485,535,30,216,238,16,0,0,0,1437,1481,109,2138,2254,155
City,KOLKATA,10,0,10,23,15,13,0,0,0,2035,1989,244,2068,2004,267
City,KOLLAM,915,951,123,0,0,0,0,0,0,1025,1030,102,1940,1981,225
City,KOTA,45,60,27,16,14,1,0,0,0,430,412,68,491,486,96
City,KOZHIKODE,558,596,61,189,205,26,0,0,0,850,796,92,1597,1597,179
City,LUCKNOW,172,77,106,71,53,40,3,2,2,633,438,212,879,570,360
City,LUDHIANA,158,94,127,63,22,60,0,0,0,305,175,178,526,291,365
City,MADURAI,49,54,7,553,518,132,0,0,0,264,227,54,866,799,193
City,MALAPPURAM,214,276,49,198,165,28,0,0,0,426,461,72,838,902,149
City,MEERUT,153,122,59,144,88,46,0,0,0,214,149,81,511,359,186
City,MUMBAI,0,0,0,0,0,0,0,0,0,588,106,483,588,106,483
City,NAGPUR,172,138,49,77,60,49,0,0,0,870,701,172,1119,899,270
City,NASIK,12,5,12,19,8,19,0,0,0,158,23,158,189,36,189
City,PATNA,280,219,81,28,16,9,0,0,0,216,97,102,524,332,192
City,PUNE,42,1,43,20,9,20,0,0,0,246,84,164,308,94,227
City,RAIPUR,344,124,49,167,93,26,0,0,0,746,512,67,1257,729,142
City,RAJKOT,151,146,67,146,93,45,0,0,0,278,198,58,575,437,170
City,RANCHI,0,0,0,0,0,0,0,0,0,354,241,233,354,241,233
City,SRINAGAR,75,75,19,0,0,0,0,0,0,235,248,26,310,323,45
City,SURAT,58,38,38,41,38,15,0,0,0,766,642,239,865,718,292
City,THIRUVANANTHAPURAM,492,486,43,262,279,26,0,0,0,950,936,91,1704,1701,160
City,THRISSUR,262,286,38,875,965,101,0,0,0,1073,1240,74,2210,2491,213
City,TIRUCHIRAPPALLI,223,315,48,12,20,7,0,0,0,282,250,49,517,585,104
City,VADODARA,141,109,70,4,6,1,1,1,0,533,435,87,679,551,158
City,VARANASI,52,30,24,37,20,20,0,0,0,71,41,32,160,91,76
City,VASAI VIRAR,112,50,65,192,108,88,0,0,0,31,22,13,335,180,166
City,VIJAYAWADA,712,648,209,133,138,28,0,0,0,654,656,118,1499,1442,355
City,VISHAKHAPATNAM,284,221,129,44,36,18,6,8,0,632,561,173,966,826,320
City,TOTAL (CITIES),13980,12422,4045,9136,8621,2173,254,123,111,43858,37817,8453,67228,58983,14782
